LINHA,QR / EMV,PAGANTE,VT,ESCOLAR,GRATUIDADE,PASSE LIVRE,DL+INT.VT,INT.ESC,TOTAL,EQUIVALENTE,DATA,EMPRESA,TARIFA,RECEITA
0102,0,7255,9175,1429,6942,400,43,8,25254,17144.5,2018-01-01,SFRAN,3.5,60005.75
0108,0,27430,23647,3400,14202,104,560,80,69425,52777,2018-01-01,SFRAN,3.5,184719.5
0705,0,6001,6603,1254,1274,12,0,0,15144,13231,2018-01-01,SFRAN,3.5,46308.5
0709,0,27182,33784,6378,7530,244,375,96,75599,64155,2018-01-01,SFRAN,3.5,224542.5
0710,0,49043,63851,11848,14675,282,397,88,140186,118818,2018-01-01,SFRAN,3.5,415863.0
0711,0,52306,51141,10415,14488,97,282,55,128785,108654.5,2018-01-01,SFRAN,3.5,380290.75
0712,0,29805,34153,5620,6354,38,0,0,75970,66768,2018-01-01,SFRAN,3.5,233688.0
0715,0,35145,38762,4225,11317,76,262,27,89815,76019.5,2018-01-01,SFRAN,3.5,266068.25
0716,0,69600,78262,13608,14010,84,56,7,175628,154666,2018-01-01,SFRAN,3.5,541331.0
0798,0,917,815,17,107,0,0,0,1856,1740.5,2018-01-01,SFRAN,3.5,6091.75
0802,0,17702,37912,4812,5299,61,4,0,65790,58020,2018-01-01,SFRAN,3.5,203070.0
0811,0,4909,4269,1135,1342,77,0,0,11732,9745.5,2018-01-01,SFRAN,3.5,34109.25
2016,0,294,689,25,100,0,1,0,1109,995.5,2018-01-01,SFRAN,3.5,3484.25
0037,0,33443,41940,7536,10183,60,1891,296,95350,79151,2018-01-01,SFRAN,3.5,277028.5
0042,0,60212,82965,12740,17139,141,1687,255,175141,149547,2018-01-01,REAL,3.5,523414.5
0046,0,49057,39273,7344,13631,83,222,33,109645,92002,2018-01-01,REAL,3.5,322007.0
0048,0,76505,101054,14893,18613,136,1120,177,212498,185005.5,2018-01-01,REAL,3.5,647519.25
0049,0,19566,18655,5103,5181,89,195,31,48823,40772.5,2018-01-01,REAL,3.5,142703.75
0052,0,18327,17987,5622,5056,63,143,24,47222,39125,2018-01-01,REAL,3.5,136937.5
0053,0,47955,46036,10895,12458,40,22,1,117407,99438.5,2018-01-01,REAL,3.5,348034.75
0072,0,27253,27684,5245,8302,42,287,28,68841,57559.5,2018-01-01,REAL,3.5,201458.25
0097,0,247,386,24,105,0,0,0,762,645,2018-01-01,REAL,3.5,2257.5
0104,0,30129,33312,4524,7735,34,290,37,76061,65703,2018-01-01,REAL,3.5,229960.5
0105,0,7192,7984,1597,2236,7,151,31,19198,15974.5,2018-01-01,REAL,3.5,55910.75
0071,0,1691,2590,279,1373,12,33,3,5981,4420.5,2018-01-01,SFRAN,3.5,15471.75
0110,0,38403,36355,6414,9389,68,115,8,90752,77965,2018-01-01,REAL,3.5,272877.5
0070,0,5568,7058,1314,1248,12,0,0,15200,13283,2018-01-01,SFRAN,3.5,46490.5
0068,0,8824,14523,2496,4521,22,243,35,30664,24595,2018-01-01,SFRAN,3.5,86082.5
0107,0,28823,33974,3491,10907,4,45,7,77251,64542.5,2018-01-01,VELEIRO,3.5,225898.75
0201,0,34093,44674,6612,11087,38,234,69,96807,82073,2018-01-01,SFRAN,3.5,287255.5
0202,0,30078,35922,5249,8855,37,112,17,80270,68624.5,2018-01-01,VELEIRO,3.5,240185.75
0204,0,3733,6520,616,2637,18,20,6,13550,10561,2018-01-01,CIMA,3.5,36963.5
0210,0,12391,18870,2031,5439,24,0,0,38755,32276.5,2018-01-01,REAL,3.5,112967.75
0213,0,12806,20536,2173,5152,34,0,0,40701,34428.5,2018-01-01,REAL,3.5,120499.75
0407,0,25925,30825,3915,8627,54,57,4,69407,58707.5,2018-01-01,VELEIRO,3.5,205476.25
0500,0,7047,9289,1259,2099,5,158,19,19876,16965.5,2018-01-01,VELEIRO,3.5,59379.25
0503,0,7339,9528,1123,3498,23,39,8,21558,17428.5,2018-01-01,VELEIRO,3.5,60999.75
0605,0,24182,25678,3778,5579,29,353,63,59662,51749,2018-01-01,VELEIRO,3.5,181121.5
0611,0,9373,13156,1556,3526,4,47,5,27667,23307,2018-01-01,VELEIRO,3.5,81574.5
0713,0,11393,16716,1674,4100,30,49,6,33968,28946,2018-01-01,VELEIRO,3.5,101311.0
0797,0,258,597,9,2,0,0,0,866,859.5,2018-01-01,VELEIRO,3.5,3008.25
0906,0,44448,51065,17633,13955,49,257,109,127516,104329.5,2018-01-01,VELEIRO,3.5,365153.25
0051,0,24300,25598,5047,8716,34,342,96,64135,52421.5,2018-01-01,SFRAN,3.5,183475.25
0055,0,2906,6091,893,4471,158,240,33,14797,9443.5,2018-01-01,SFRAN,3.5,33052.25
0056,0,21369,27922,6584,7081,155,330,83,63529,52583,2018-01-01,SFRAN,3.5,184040.5
0057,0,27432,30698,5068,11169,93,210,33,74704,60664,2018-01-01,SFRAN,3.5,212324.0
0058,0,13724,17260,2713,6645,55,85,18,40500,32340.5,2018-01-01,SFRAN,3.5,113191.75
0059,0,8223,9158,1245,7176,35,33,4,25874,18003.5,2018-01-01,SFRAN,3.5,63012.25
0060,0,6579,11197,1821,10333,48,54,12,30044,18686.5,2018-01-01,SFRAN,3.5,65402.75
